"EP/F029292/1","[['whittlesey, professor m', '50725']]"
"EP/F029039/1","[['macgregor, professor sa', '49617']]"
"GR/R74970/01","[['long, professor nj', '37147'], ['mcgrady, professor j', '58309']]"
"GR/R74963/01","[['mcgrady, professor j', '58309'], ['vilar compte, professor r', '72279']]"
"GR/S73853/01","[['attard, professor ga', '590']]"
"EP/F022026/1","[['gardner, professor p', '37973'], ['cinque, dr g', '-177319'], ['goddard, professor n', '27176'], ['fielden, professor pr', '5201']]"
"GR/S02617/01","[['harrity, professor jpa', '59002']]"
"EP/C53087X/1","[['el-gomati, professor m', '4769'], ['turchetta, dr r', '96775']]"
"GR/M94724/01","[['horswill, dr m', '67723']]"
"GR/R27594/01","[['french, dr m', '74929'], ['rogers, professor e', '13542'], ['harris, professor c', '6851']]"
"EP/E024998/2","[['chalmers, professor a', '2715'], ['horton, dr mc', '-21558']]"
"EP/E024998/1","[['chalmers, professor a', '2715'], ['horton, dr mc', '-21558']]"
"GR/N17829/01","[['clegg, professor wj', '21399']]"
"GR/S95510/01","[['wynne, professor k', '85400']]"
"EP/F041772/1","[['dennis, professor j', '26910'], ['gladden, professor l', '5961']]"
"GR/R60799/01","[['crowe, professor a', '3626']]"
"GR/R06977/01","[['evans, professor jrg', '4962'], ['edirisinghe, professor m', '72178'], ['coveney, professor pv', '35009'], ['eames, dr j', '80465']]"
"GR/T00986/01","[['reinaud, dr jn', '106915']]"
"GR/R60959/01","[['zhang, professor x', '91663']]"
"EP/E001041/1","[['adjiman, professor cs', '72561']]"
"EP/E000878/1","[['taylor, professor pc', '15545']]"
"GR/R08292/01","[['matthews, dr pc', '36776'], ["o'neill, professor pd", '66143'], ['dryden, professor il', '4468'], ['ball, professor fg', '790'], ['byrne, professor h', '43152'], ['wattis, dr jad', '43606'], ['dryden, professor i', '78920']]"
"EP/E019455/1","[['williams, professor i', '17139']]"
"EP/E017878/1","[['critchley, professor f', '33824']]"
"GR/S67142/02","[['de leeuw, professor nh', '74086']]"
"GR/S67142/01","[['de leeuw, professor nh', '74086']]"
"GR/R69563/01","[['guthrie, professor j', '6527'], ['savage, professor m', '13955']]"
"GR/S01986/01","[['de leeuw, professor nh', '74086'], ['sankar, professor g', '49257'], ['catlow, professor r', '2663'], ['slater, dr b', '76723']]"
"GR/S04109/01","[['smith, dr pd', '14714'], ['forth, dr sa', '64646']]"
"GR/R63196/01","[['tennyson, professor j', '15622'], ['monteiro, professor t', '11061'], ['morgan, dr s', '92763'], ['van mourik, dr t', '81540']]"
"GR/R81510/01","[['slater, dr b', '76723']]"
"GR/S12050/01","[['brown, professor bm', '2031']]"
"GR/S63861/01","[['shadbolt, professor n', '14179']]"
"EP/H004092/1","[['miguel, professor ij', '107856'], ['balasubramaniam, dr d', '68891'], ['linton, professor s', '33069'], ['kelsey, dr t', '90489'], ['gent, professor ip', '75756']]"
"GR/N04256/01","[['boiten, dr e', '56494'], ['derrick, professor j', '4140']]"
"EP/E00041X/1","[['ding, professor y', '96913']]"
"EP/E000665/1","[['dryfe, professor raw', '55434']]"
"EP/D013615/1","[['gaskell, professor sj', '5761'], ['kell, professor db', '8693'], ['knowles, professor j', '117520'], ['lilley, professor ks', '105781'], ['hubbard, professor s', '75952']]"
