Id	Label	Num
-185192	dr j bacardit	8	
-184797	dr j yan	6	
-90040	dr as mcgough	9	
-86618	professor p briggs	11	
-17480	professor a van moorsel	12	
10417	professor jv mccanny	8	
66486	professor s sezer	11	
90240	dr p miller	8	
52947	professor w liu	8	
106001	professor m o'neill	8	
113229	dr f kurugollu	8	
-403839	dr k mclaughlin	10	
-504552	dr p o'kane	8	
-503185	dr e o'sullivan	8	
-521838	dr j d bustard	8	
-535256	dr l tran-thanh	2	
29356	professor nr jennings	12	
47895	professor m harman	4	
-368495	dr s yoo	4	
32288	professor ja clark	4	
-207482	dr j krinke	4	
76174	professor x yao	8	
36435	professor ek burke	5	
-105053	professor m whitty	6	
-88741	professor t sorell	6	
80313	professor a rashid	10	
71248	professor m levi	12	
29862	professor ma sasse	9	
-504140	dr g stringhini	6	
-124229	dr tep de bie	4	
75321	professor r everson	1	
-117223	dr j fieldsend	3	
83429	dr g tabor	3	
-367574	professor y jin	1	
-193159	mr j doherty	1	
96138	professor nd lawrence	4	
73220	professor z ghahramani	4	
-530923	dr m croucher	5	
52022	professor q shen	5	
-440168	dr ph shaw	5	
9340	professor mh lee	5	
125669	professor s sharples	16	
61541	professor l carr	10	
1488	professor g blair	16	
-392419	dr v rieser	3	
-482875	dr s riedel	2	
29307	professor p treleaven	15	
49138	professor w emmerich	7	
52422	professor dc webb	7	
-17448	professor w weber	7	
6610	professor dame w hall	10	
14179	professor n shadbolt	9	
-206241	professor c pope	7	
-104188	mrs s davies	7	
-258048	dr gj brostow	4	
-90064	professor ke jones	3	
22235	professor m sandler	10	
-404511	professor e chew	5	
-404614	dr a p mcpherson	7	
21502	professor m plumbley	9	
109935	dr nj bryan-kinns	7	
-449695	dr c a harte	5	
70990	professor pgt healey	8	
-449009	dr k shoop	5	
37987	professor s roberts	4	
127556	dr n trigoni	6	
-283417	dr c sutton	8	
61354	professor j moore	5	
111523	dr aj storkey	3	
104689	professor op buneman	5	
71185	dr n goddard	5	
115916	dr de browne	6	
-94404	professor jjl morton	7	
-159231	dr mr buitelaar	6	
44007	professor pa warburton	6	
81210	professor s bose	6	
3262	professor p conway	12	
-189422	dr d flynn	7	
44531	professor m desmulliez	15	
124316	dr c torres-sanchez	4	
59531	dr k brown	6	
99243	professor m zervos	3	
-255930	dr t aste	6	
-448265	professor r cont	3	
-109550	dr a richards	5	
76198	professor d may	5	
12495	professor t pipe	7	
100731	professor jm rossiter	7	
71420	professor c melhuish	5	
53920	professor pi cowling	5	
-193871	professor a tanaka	4	
-181125	professor w latham	4	
-11556	dr j gow	5	
77499	dr pa cairns	4	
-102334	professor mf ursu	4	
97244	dr u kruschwitz	4	
-394547	professor r a bartle	4	
29870	professor s lucas	4	
110073	professor h fangohr	4	
-113177	dr i hawke	4	
107145	dr p horak	4	
9148	professor d lane	5	
-187310	professor nm robertson	6	
21865	professor nk taylor	5	
42706	professor b webb	6	
115093	professor s vijayakumar	7	
-193217	dr l isaksen	3	
-169591	professor sj halford	3	
57066	professor ij craddock	7	
-213070	professor r ascione	4	
48743	dr n campbell	4	
-410316	dr d t coyle	4	
50526	professor w harwin	5	
50450	professor b al-hashimi	7	
-21636	professor j hamiltonshield	4	
52746	professor le sundstrom	4	
-119639	professor r ter meulen	4	
-21973	professor g daveysmith	4	
-21692	professor g lewis	4	
-114021	professor ar cooper	4	
-116621	professor mr munafo	4	
-118653	dr bh stark	6	
-110446	dr r gooberman-hill	4	
-112385	dr g merrett	6	
72414	professor p flach	4	
-65004	dr dl paul	4	
-160306	dr rj piechocki	4	
-16463	professor ar ness	4	
40402	professor sp beeby	6	
57930	professor m mirmehdi	4	
24421	professor j tavare	5	
58293	professor id gilchrist	8	
117498	professor w holderbaum	5	
71511	professor rs sherratt	4	
-255734	professor a blom	4	
36319	dr gs hilton	4	
84051	professor a m ashburn	4	
-215170	professor j macleod	4	
68959	professor g yang	10	
-96564	dr ca jefferson	1	
105909	professor s yang	1	
-507858	dr b kainz	3	
-485755	dr j r woodward	4	
-440726	dr f t stahl	2	
-185805	dr m sadrzadeh	2	
-434287	dr d grossi	2	
49934	professor a hunter	2	
10387	professor d mcauley	14	
76625	professor sm ratchev	14	
-418321	dr m valstar	8	
4468	professor il dryden	8	
13520	professor t rodden	11	
-373614	dr c wagner	9	
-389788	dr m flintham	9	
-398594	dr rj houghton	8	
-413184	dr s reeves	8	
-120370	professor br stafford	8	
-116694	dr a spence	9	
-15330	professor a crabtree	9	
-14717	professor ap smith	9	
-15488	professor s adolphs	8	
-15310	dr jo goulding	8	
1219	professor s benford	18	
-287120	dr e costanza	3	
-283858	dr s d ramchurn	12	
-462983	dr j fischer	2	
-506951	dr c lin	2	
-10386	dr g nenadic	3	
-208867	professor r stewart	3	
28022	professor r gaizauskas	3	
-22273	dr i spasic	3	
21766	professor d robertson	5	
11287	professor s muggleton	3	
-185097	dr s dogramadzi	4	
84037	dr p caleb-solly	4	
