"EP/L016427/1","['-283417', '61354', '111523', '104689', '71185']"
"EP/L015242/1","['115916', '-94404', '-159231', '44007', '81210']"
"EP/L014998/1","['3262', '-189422', '44531', '124316', '59531']"
"EP/L015129/1","['29307', '99243', '-255930', '-448265']"
"EP/L015293/1","['-109550', '76198', '12495', '100731', '71420']"
"EP/L015846/1","['53920', '-193871', '-181125', '-11556', '77499', '-102334', '97244', '98328', '-394547', '29870']"
"EP/L015382/1","['110073', '-113177', '107145', '83430']"
"EP/L016834/1","['9148', '-187310', '21865', '42706', '115093', '59531']"
"EP/L016117/1","['6610', '61541', '-193217', '-169591', '14179']"
"EP/K031910/1","['57066', '-213070', '48743', '-410316', '50526', '50450', '-21636', '52746', '-119639', '-21973', '-21692', '-114021', '-116621', '-118653', '-110446', '-112385', '72414', '-65004', '-160306', '-16463', '40402', '57930', '24421', '58293', '117498', '71511', '-255734', '36319', '84051', '-215170']"
"EP/M012522/1","['68959']"
"EP/M003728/1","['-96564']"
"EP/K001310/1","['105909']"
"EP/K001523/1","['76174']"
"EP/N024494/1","['-507858']"
"EP/N002849/1","['-485755']"
"EP/M016870/1","['-440726']"
"EP/J002607/2","['-185805']"
"EP/M015815/1","['-434287']"
"EP/N008294/1","['49934']"
"EP/M02315X/1","['10387', '76625', '-418321', '4468', '125669', '13520', '-373614', '-389788', '-398594', '-413184', '-120370', '-116694', '-15330', '-14717', '-15488', '-15310', '1219']"
"EP/N014243/1","['-287120', '13520', '-15330', '-283858', '-462983', '29356']"
"EP/P005810/1","['-506951']"
"EP/N027280/1","['-10386', '-208867', '28022', '-22273', '21766']"
"EP/P006272/1","['11287']"
"EP/N021703/1","['-185097', '12495', '84037', '-540471']"
"EP/N007115/1","['-207681', '-123618', '-16024']"
"EP/M013375/1","['-233701', '-459455', '39110']"
"EP/L027623/1","['-190079']"
"EP/N008448/1","['-504140']"
"EP/M507106/1","['94384', '-168040']"
"EP/M020320/1","['53225', '-184416', '-128539', '65742']"
"EP/M012662/1","['103439']"
"EP/M012654/1","['115773']"
"EP/N035127/1","['-154576', '116096']"
"EP/L027208/1","['-124859', '-9869']"
"EP/K504221/1","['106093']"
"EP/N033779/1","['-490206']"
"EP/F500386/1","['106312']"
"EP/P005659/1","['-428824']"
"EP/P005314/1","['-283417']"
"EP/L018829/2","['-289131']"
"EP/N020774/1","['-399895']"
"EP/I004327/1","['-19751']"
"EP/N020030/1","['95298', '-468003']"
"EP/N017536/1","['-392419']"
"EP/N014111/1","['21502', '51635', '-190482', '-115276', '42655', '129285', '114631']"
"EP/I028099/1","['5628', '14197']"
"EP/M020258/1","['-459023', '36435', '5975']"
"EP/M013766/1","['-102272']"
"EP/K039989/1","['109944', '-200769', '-272433', '-250168', '-225252']"
"EP/K033344/1","['-413886', '47801', '5698', '-35861', '112699']"
"EP/K003445/1","['66486', '-304040']"
"EP/K009788/2","['84313']"
"EP/M027309/1","['29766']"
"EP/N020723/1","['-149587', '-248218']"
"EP/L026775/1","['-392419']"
"EP/N017447/1","['-409675']"
"EP/M018946/1","['17712']"
"EP/L000296/1","['109565', '-195007', '21839', '-246071', '-223180']"
"EP/M00533X/1","['-490101']"
"EP/M01892X/1","['-399351']"
"EP/M000702/1","['-128228']"
"EP/K033522/1","['47213', '115201', '112412']"
"EP/K033433/1","['106527']"
"EP/K033425/1","['97680', '84353']"
"EP/M027805/1","['-439354']"
"EP/M004252/1","['-214321']"
"EP/L022796/1","['-410270', '-447547']"
"EP/L02277X/1","['77481', '-444688']"
"EP/N007565/1","['15688', '-84373', '44245', '29766']"
