"GR/J15629/01","['Eng. Dynamics & Tribology']"
"GR/G08415/01","[]"
"GR/J61466/01","['Materials Processing']"
"GR/H26130/01","['Materials Processing']"
"GR/M41223/01","['Materials Processing']"
"GR/L78185/01","['Chemical Synthetic Methodology', 'Materials Characterisation']"
"GR/M36489/01","['Instrumentation Eng. & Dev.']"
"GR/K42080/01","['RF & Microwave Technology']"
"GR/M10007/01","['Chemical Synthetic Methodology']"
"GR/L70066/01","['Chemical Synthetic Methodology']"
"GR/H78535/01","['RF & Microwave Technology']"
"GR/L32880/01","['Materials Synthesis & Growth']"
"GR/M22116/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/M22130/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/G55181/01","[]"
"GR/H28615/01","['Asymmetric Chemistry']"
"GR/M28385/01","['Design Engineering', 'Materials Processing']"
"GR/L88283/01","['Digital Signal Processing']"
"GR/L01145/01","['Electromagnetics']"
"GR/K78591/01","['Electrochemical Science & Eng.']"
"GR/M72500/01","['Materials Characterisation']"
"GR/J70758/01","['Civil Engineering Materials']"
"GR/L53250/01","['Human Communication in ICT']"
"GR/H20091/01","[]"
"GR/H55819/01","['Biomaterials']"
"GR/L52932/01","['Biological & Medicinal Chem.', 'Chemical Synthetic Methodology']"
"GR/M01272/01","['Electric Motor & Drive Systems']"
"GR/G30232/01","[]"
"GR/M52243/01","['Chemical Structure', 'Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/M48451/01","['Analytical Science']"
"GR/J15841/01","['Electric Motor & Drive Systems']"
"GR/J06900/01","['Design & Testing Technology']"
"GR/M28194/02","['Complex fluids & soft solids']"
"GR/M28194/01","['Complex fluids & soft solids']"
"GR/J67321/01","['Materials Characterisation']"
"GR/L58187/01","['Materials Characterisation']"
"GR/K95376/01","['Image & Vision Computing']"
"GR/K65898/01","['Materials Characterisation']"
"GR/M42121/01","['Control Engineering', 'Transport Ops & Management']"
"GR/K58869/01","['Carbohydrate Chemistry']"
"GR/K87395/01","['Design Engineering']"
"GR/M16054/01","['Asymmetric Chemistry']"
"GR/M48345/01","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"GR/L58125/01","['RF & Microwave Technology']"
"GR/J31667/01","['Asymmetric Chemistry']"
"GR/G34117/01","[]"
"GR/M28149/01","['Asymmetric Chemistry']"
"GR/G17554/01","[]"
"GR/H90186/01","['Atoms & Ions']"
"GR/K14568/01","['Multiphase Flow']"
"GR/J01035/01","['Biomaterials']"
"GR/K65867/01","['Fluid Dynamics']"
"GR/M36434/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/M85067/01","['Electronic Devices & Subsys.']"
"GR/K23225/01","['Instrumentation Eng. & Dev.', 'Surfaces & Interfaces']"
"GR/H86042/01","['Image & Vision Computing', 'Underwater Engineering']"
"GR/F92411/01","[]"
"GR/K48068/01","['Eng. Dynamics & Tribology']"
"GR/J67154/01","[]"
"GR/J23457/01","['Surfaces & Interfaces']"
"GR/M21010/01","['Chemical Structure']"
"GR/J07341/01","['Instrumentation Eng. & Dev.']"
"GR/J24812/01","['Non-linear Systems Mathematics']"
"GR/M10854/01","['Vision & Senses - ICT appl.']"
"GR/J73698/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/M62983/01","['Heat & Mass Transfer', 'Separation Processes']"
