"GR/J71878/01","[[['bennett, mr s', '31938'], ['gillingwater, dr d', '5934']], 72253]"
"GR/K21924/01","[[['mcgeehan, professor j', '10525'], ['norton, dr g', '11690']], 103216]"
"GR/M09353/01","[[['claypole, professor t', '3017'], ['gethin, professor dt', '5821']], 289611]"
"GR/K83878/01","[[['tildesley, professor d', '-460313'], ['gould, dr ir', '40177'], ['parsonage, dr n', '12121'], ['nicholson, dr d', '11589'], ['gale, dr j', '29332']], 205471]"
"GR/M54001/01","[[['sealy, professor b', '14094']], 15210]"
"GR/M51895/01","[[['coleman, professor p', '82637']], 309208]"
"GR/J15889/01","[[['zedan, professor h', '17749']], 52977]"
"GR/K69643/01","[[['zedan, professor h', '17749']], 52967]"
"GR/J15179/01","[[['hoare, professor sir c', '83558'], ['he, professor j', '27995']], 49775]"
"GR/L98404/01","[[['richardson, professor a', '13278'], ['peyton, professor aj', '27937'], ['dorey, professor a', '4352']], 236856]"
"GR/G52449/01","[[['whitelaw, dr j', '16952']], 82770]"
"GR/J18958/01","[[['spraggett, dr s', '14920'], ['foyer, professor p', '28895'], ['sheldon, professor d', '14277'], ['sheldon, professor d', '45588']], 217104]"
"GR/M10403/01","[[['jobson, dr m', '55720']], 51471]"
"GR/M68510/01","[[['porter, professor jm', '12618'], ['gyi, dr d', '54643'], ['case, professor k', '2627']], 260298]"
"GR/L61088/01","[[['chen, dr c', '49974']], 65296]"
"GR/L03637/01","[[['cooper, professor rp', '41610'], ['shallice, professor t', '21513'], ['fox, professor jp', '5483']], 225633]"
"GR/J11058/01","[[['jones, professor cb', '46590']], 117878]"
"GR/J42007/01","[[['bacon, professor jm', '652'], ['moody, dr j', '11073'], ['moody, dr km', '57135']], 117239]"
"GR/G22411/01","[[['jones, dr di', '22834'], ['marnane, dr w', '10140'], ['fleming, professor pj', '5310']], 63673]"
"GR/K15947/01","[[['block, professor h', '1532'], ['akhavan, professor j', '21250']], 66303]"
"GR/H83188/01","[[['boyle, dr w', '21978']], 10000]"
"GR/M66776/01","[[['orr-ewing, professor a j', '34505']], 88686]"
"GR/F97232/01","[[['parker, professor df', '12072']], 2951]"
