Source	Target	Type	Weight	TotalVal
23	35	Undirected	1.0	283789
23	36	Undirected	3.0	7768483
23	38	Undirected	1.0	2364080
23	39	Undirected	2.0	1980634
23	40	Undirected	1.0	477780
23	48	Undirected	1.0	807635
23	50	Undirected	8.0	22311221
23	52	Undirected	2.0	3764315
23	55	Undirected	1.0	1408691
23	61	Undirected	3.0	3877073
23	64	Undirected	4.0	7679638
23	71	Undirected	1.0	1400235
23	73	Undirected	13.0	29828299
23	76	Undirected	5.0	7959329
23	88	Undirected	1.0	756016
23	90	Undirected	1.0	841259
23	93	Undirected	1.0	5374638
23	97	Undirected	1.0	756016
23	98	Undirected	1.0	507675
23	102	Undirected	11.0	25333074
23	106	Undirected	5.0	13306143
23	107	Undirected	5.0	11145315
23	110	Undirected	1.0	98564
23	111	Undirected	3.0	2746465
23	112	Undirected	6.0	14005973
23	114	Undirected	2.0	4749073
23	116	Undirected	4.0	13755997
23	117	Undirected	3.0	7272647
24	25	Undirected	26.0	16777631
24	26	Undirected	11.0	546881
24	29	Undirected	1.0	397354
24	34	Undirected	4.0	1361847
24	39	Undirected	1.0	507675
24	42	Undirected	5.0	16570929
24	44	Undirected	4.0	9609828
24	53	Undirected	1.0	488453
24	60	Undirected	15.0	16460257
24	65	Undirected	3.0	1183335
24	73	Undirected	1.0	3868978
24	84	Undirected	2.0	8878056
24	87	Undirected	6.0	11162584
24	88	Undirected	3.0	9901393
24	97	Undirected	3.0	1690202
24	98	Undirected	1.0	507675
24	102	Undirected	3.0	1584849
24	105	Undirected	6.0	4865542
24	107	Undirected	2.0	522814
24	108	Undirected	1.0	1908377
24	109	Undirected	2.0	1112704
24	110	Undirected	2.0	1060300
24	116	Undirected	1.0	491232
25	26	Undirected	37.0	48449042
25	34	Undirected	1.0	6150850
25	37	Undirected	1.0	147434
25	40	Undirected	1.0	477780
25	41	Undirected	1.0	147434
25	42	Undirected	8.0	26509879
25	44	Undirected	7.0	11669486
25	53	Undirected	3.0	864866
25	58	Undirected	1.0	6418295
25	59	Undirected	1.0	6418295
25	60	Undirected	19.0	23978751
25	61	Undirected	1.0	477780
25	63	Undirected	2.0	1581518
25	72	Undirected	4.0	7347212
25	73	Undirected	1.0	3868978
25	84	Undirected	9.0	28473405
25	85	Undirected	3.0	1121752
25	87	Undirected	4.0	15681084
25	89	Undirected	1.0	715138
25	90	Undirected	7.0	12687309
25	91	Undirected	7.0	6682761
25	92	Undirected	11.0	25961658
25	99	Undirected	1.0	147434
25	101	Undirected	10.0	22721060
25	104	Undirected	22.0	30492566
25	105	Undirected	3.0	7250721
25	108	Undirected	2.0	617084
25	110	Undirected	1.0	5296044
26	34	Undirected	1.0	6150850
26	40	Undirected	1.0	477780
26	42	Undirected	12.0	25178152
26	44	Undirected	3.0	5210952
26	57	Undirected	1.0	61102
26	58	Undirected	1.0	6418295
26	59	Undirected	2.0	6621305
26	60	Undirected	19.0	20358929
26	61	Undirected	1.0	477780
26	65	Undirected	1.0	441476
26	68	Undirected	1.0	61102
26	72	Undirected	6.0	1690891
26	79	Undirected	3.0	4016423
26	80	Undirected	3.0	1069717
26	84	Undirected	3.0	15458565
26	86	Undirected	2.0	1145264
26	87	Undirected	3.0	12006320
26	91	Undirected	3.0	4223260
26	92	Undirected	6.0	7233435
26	101	Undirected	18.0	13138156
26	104	Undirected	19.0	38689425
26	105	Undirected	3.0	7296114
26	108	Undirected	3.0	1158126
27	29	Undirected	1.0	397424
27	40	Undirected	7.0	9624073
27	43	Undirected	11.0	11360653
27	54	Undirected	8.0	9468288
27	61	Undirected	12.0	10824684
27	62	Undirected	4.0	8868828
27	63	Undirected	8.0	9468288
27	65	Undirected	1.0	1024165
27	68	Undirected	2.0	2013534
27	73	Undirected	25.0	27146570
27	75	Undirected	8.0	9468288
27	76	Undirected	17.0	22908612
27	82	Undirected	1.0	769539
27	84	Undirected	1.0	2551402
27	88	Undirected	1.0	397424
27	102	Undirected	11.0	18733457
28	29	Undirected	2.0	851049
28	33	Undirected	3.0	1047083
28	35	Undirected	1.0	1668848
28	36	Undirected	2.0	1150322
28	38	Undirected	4.0	10351965
28	39	Undirected	6.0	6526092
28	40	Undirected	6.0	2556784
28	48	Undirected	4.0	8725204
28	50	Undirected	6.0	10582557
28	51	Undirected	2.0	1611834
28	52	Undirected	4.0	16038090
28	55	Undirected	7.0	12266379
28	58	Undirected	1.0	995080
28	59	Undirected	1.0	995080
28	64	Undirected	2.0	4586432
28	66	Undirected	3.0	6644338
28	68	Undirected	1.0	1194109
28	72	Undirected	2.0	1212211
28	73	Undirected	1.0	3768933
28	79	Undirected	1.0	995080
28	81	Undirected	1.0	995080
28	82	Undirected	5.0	6401686
28	83	Undirected	3.0	9559082
28	88	Undirected	2.0	1751096
28	95	Undirected	1.0	5032504
28	96	Undirected	17.0	33250276
28	97	Undirected	5.0	9820804
28	98	Undirected	1.0	4183694
28	102	Undirected	2.0	949708
28	107	Undirected	4.0	3584309
28	111	Undirected	2.0	5427726
