Id	Label	Num
2022	brown, professor ad	1	
2031	brown, professor bm	1	
71035	brown, professor cv	1	
54142	brown, professor d	1	
-116873	brown, professor i	2	
52838	brown, professor rcd	2	
94804	brown, professor sp	2	
58677	brown, professor w	1	
-499832	browne, dr a	1	
115916	browne, dr de	1	
63519	browne, professor m	1	
50344	brownjohn, professor jmw	2	
2126	bruce, professor d	1	
2132	bruce, professor p	9	
-99600	brumby, dr dp	1	
109935	bryan-kinns, dr nj	4	
-540343	bryant, dr m	1	
-81214	bryant, dr pm	1	
2166	bryce, professor m	2	
47164	bryden, professor i	1	
29222	brydson, professor rmd	1	
123557	bryson, professor j	2	
-425314	bucchi, dr a	1	
-95655	buchan, dr ag	3	
-479208	buchard, dr a	1	
55620	buckingham shum, dr j	1	
40869	buckland, professor st	1	
73259	buckle, dr pd	2	
-243022	buckley, dr a r	4	
54064	bucknall, professor rwg	2	
2202	buckton, professor g	1	
125972	budarin, dr vl	1	
-23413	budd, professor pm	3	
-197148	buehl, professor m	2	
2208	buenfeld, professor nr	1	
21285	bugg, professor tdh	2	
-24480	buis, dr a	2	
-159231	buitelaar, dr mr	1	
-166876	bujalski, dr w	1	
89626	bull, dr sd	1	
106929	bull, professor amj	1	
2212	bull, professor d	3	
50432	bull, professor l	1	
45188	bull, professor s	1	
2220	buller, professor g	3	
2221	bullett, professor s	1	
35436	bullmore, professor e	1	
83430	bullock, professor s	2	
-425601	bulters, mr do	1	
-533001	bunduchi, dr r	1	
2244	bundy, professor a	1	
104689	buneman, professor op	3	
-195834	burdet, dr e	1	
-187636	burgarth, dr dk	1	
-262716	burgess, dr k	2	
36435	burke, professor ek	3	
-399202	burke, professor m	6	
-210586	burley, dr j	1	
124410	burn, dr j	1	
-107976	burn, professor, j	1	
114536	burnap, dr p	1	
107868	burnell, dr g	4	
-81456	burnet, professor ng	2	
-545777	burnett, dr t	1	
-121731	burns, dr i	2	
-494785	burns, mr s j	1	
-8193	burns, professor a	2	
2307	burns, professor a	2	
2320	burr, professor ag	1	
-182072	burriesci, dr g	1	
49125	burrows, professor a	2	
-6786	burrows, professor mt	1	
2327	burrows, professor r	1	
74191	burt, professor gm	1	
115183	burton, dr da	1	
34084	busby, dr j	1	
-195876	busby, dr jp	1	
-536867	bush, dr i	1	
2357	bushby, professor rj	1	
-521838	bustard, dr j d	1	
-193870	buswell, dr ra	3	
-115118	butler, dr cc	1	
-2552	butler, dr i	1	
2388	butler, professor d	4	
-175276	butler, professor j	1	
47793	butler, professor m	1	
2390	butler, professor r	2	
92330	butt, professor jn	1	
-2831	buttery, dr ldk	1	
-249870	button, professor m	1	
-454372	buxton, dr o	1	
61384	buzza, dr dma	1	
71594	buzzard, professor k	1	
-388443	byrne, dr c	2	
94170	byrne, professor bw	1	
43152	byrne, professor h	1	
-190079	byrne, professor wj	2	
-80458	cabral, dr j	1	
-369585	cabras, dr i	1	
-496686	cacuci, professor d	2	
-264123	cadar, dr c	2	
-136460	cadby, dr aj	1	
31756	caddick, professor s	1	
-396261	cai, dr q	1	
-123453	cai, dr y	1	
77499	cairns, dr pa	2	
-271812	cairns, professor a	2	
2451	cairns, professor ra	1	
118450	caldas, professor c	1	
15688	calder, professor m	4	
84037	caleb-solly, dr p	1	
-171365	calleja, dr pj	1	
-87083	calvert, dr j	1	
109313	calvez, dr s	1	
-16231	camara, professor m	1	
-516873	cameron, mr k	1	
-482879	cameron, mr r p	1	
2493	cameron, professor pj	1	
32414	cameron, professor re	1	
100807	campbell, dr aj	1	
-251388	campbell, dr b	1	
126978	campbell, dr cj	2	
88227	campbell, dr i	2	
48743	campbell, dr n	1	
-507527	campbell, dr n d f	2	
-213872	campbell, professor dj	1	
-187814	campbell, professor eeb	2	
107247	campion, dr rp	2	
-439815	camporota, dr l	1	
37325	canagarajah, professor n	1	
20557	candelas, professor p	2	
72333	cangelosi, professor a	1	
55546	cann, dr pm	1	
21851	cant, professor r	1	
-417030	cao, dr d	1	
-227756	cao, professor w	1	
-217300	capdeboscq, professor ycr	1	
-22602	carbery, dr dr	1	
37755	carbery, professor a	2	
-188111	carbone, dr p	1	
38227	cardwell, professor da	1	
-98434	caretta, dr o	1	
-452405	carlisle, dr r c	1	
46177	carmalt, professor c	4	
-356382	carmichael, dr dw	1	
-484992	carnie, dr m	1	
49454	carpenter, professor ma	1	
-252576	carpentieri, dr m	2	
-269821	carr, dr h	1	
-462042	carr, dr m	1	
-256975	carr, professor a	1	
2583	carr, professor j	2	
61541	carr, professor l	4	
-482522	carr-white, dr g	1	
-456060	carragher, dr n	1	
-16562	carravetta, dr m	1	
119342	carre, dr mj	1	
-426154	carrington, dr p	1	
57488	carrington, professor a	3	
-259967	carroll, dr c	1	
34877	carrotte, professor j	1	
2599	carsten, professor omj	2	
-91630	carter, dr k	1	
