Id,Label,Num,Val
-424234,chen, dr y,2,1123898
39843,chen, professor d,1,1415336
-284236,chen, professor g,1,4313521
74687,chen, professor g,1,1113804
40650,chen, professor k,2,3028463
89691,chen, professor r,1,1004390
77575,chen, professor w,2,3156841
58212,chen, professor x,1,4834361
-189931,cheney, dr j,1,395170
81457,cheng, professor k,1,419132
84280,cherniakov, professor m,3,3121421
2851,cherns, professor d,1,393218
94744,cherrett, dr t,1,1161862
-28616,cheshire, professor nj,1,1249592
-13724,chester, professor ka,2,4213446
2867,cheung, professor pyk,2,9726330
80847,cheung, professor r,1,477577
-404511,chew, professor e,2,4859279
-481035,chico-santamarta, dr l,1,372573
31869,childs, professor prn,2,1290883
-170988,chinnery, professor p,1,584269
-325896,chiribiri, dr a,2,1279483
46237,chittenden, professor j,4,1601640
-111019,chong, dr hmh,5,5555940
94248,chong, dr jp,1,1852567
-136653,chothia, dr tc,1,395222
-258910,choubey, professor b,4,7681817
-242884,choudhary, dr r,3,5952520
-2847,chowienczyk, professor p,1,543114
-419277,christensen, mr j,1,394947
91227,christenson, dr hk,2,2226936
-25674,christian, dr j,1,403478
74448,christie, professor m,1,2048925
