"GR/N32891/01","['Catalysis & Applied Catalysis', 'Cells', 'Chemical Synthetic Methodology', 'Instrumentation Eng. & Dev.', 'Materials Characterisation', 'Medical science & disease']"
"GR/N32754/01","['Catalysis & Applied Catalysis', 'Cells', 'Chemical Synthetic Methodology', 'Instrumentation Eng. & Dev.', 'Materials Characterisation', 'Medical science & disease']"
"GR/N32723/01","['Catalysis & Applied Catalysis', 'Cells', 'Chemical Synthetic Methodology', 'Instrumentation Eng. & Dev.', 'Materials Characterisation', 'Medical science & disease']"
"EP/D030455/1","['Digital Signal Processing']"
"EP/D503213/1","['Digital Signal Processing', 'Image & Vision Computing', 'Parallel Computing', 'System on Chip', 'VLSI Design']"
"GR/N06533/01","['Co-ordination Chemistry']"
"EP/D054664/1","['Algebra & Geometry']"
"EP/D004853/1","['Electronic Devices & Subsys.']"
"GR/N33119/01","['Assess/Remediate Contamination']"
"GR/T28812/01","['Design Engineering', 'Materials Processing']"
"GR/S07124/01","['Mathematical Aspects of OR']"
"EP/C523687/1","['Light-Matter Interactions']"
"GR/T22667/01","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/E007716/1","['Biomaterials', 'Materials Characterisation']"
"GR/S02365/01","['Materials Processing']"
"EP/F027451/1","['Solar Technology']"
"GR/N65103/01","['Coastal & Waterway Engineering']"
"GR/R90857/01","['Robotics & Autonomy']"
"GR/R90840/01","['Robotics & Autonomy']"
"EP/D022754/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Electrochemical Science & Eng.', 'Sustainable Energy Vectors']"
"EP/D023238/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Electrochemical Science & Eng.', 'Sustainable Energy Vectors']"
"EP/D023653/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Electrochemical Science & Eng.', 'Sustainable Energy Vectors']"
"EP/D023246/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Electrochemical Science & Eng.', 'Sustainable Energy Vectors']"
"EP/D023335/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Electrochemical Science & Eng.', 'Sustainable Energy Vectors']"
"EP/E011314/1","['Chemical Synthetic Methodology']"
"EP/F05890X/1","['Materials Characterisation', 'Materials Synthesis & Growth', 'Sustainable Energy Vectors']"
"GR/S81742/01","['Materials Characterisation', 'Materials Processing', 'Particle Technology']"
"GR/S81759/01","['Materials Characterisation', 'Materials Processing', 'Particle Technology']"
"GR/S81759/02","['Materials Characterisation', 'Materials Processing', 'Particle Technology']"
"GR/S62819/01","['Electronic Devices & Subsys.']"
"EP/F027362/1","['Materials Synthesis & Growth', 'Sustainable Energy Vectors']"
"GR/R34189/01","['Condensed Matter Physics']"
"EP/C539184/1","['Cells', 'Non-linear Systems Mathematics']"
"GR/N31696/01","['Coastal & Waterway Engineering', 'Instrumentation Eng. & Dev.']"
"GR/S85856/01","['Condensed Matter Physics', 'Materials Characterisation']"
"GR/S85863/01","['Condensed Matter Physics', 'Materials Characterisation']"
"EP/G02703X/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Reactor Engineering']"
"EP/D061822/1","['Fundamentals of Computing', 'Parallel Computing']"
"GR/S01573/01","['Networks & Distributed Systems']"
"EP/D04829X/1","['Catalysis & Applied Catalysis', 'Design of Process systems', 'Separation Processes']"
"GR/T22735/01","['Combustion']"
"GR/S43962/01","['Ground Engineering']"
"GR/S41814/02","['Heat & Mass Transfer']"
"GR/S41821/01","['Heat & Mass Transfer']"
"GR/S41814/01","['Heat & Mass Transfer']"
"EP/E020933/1","['Energy - Conventional', 'Materials testing & eng.']"
"GR/S08473/01","['Civil Engineering Materials', 'Materials Characterisation']"
"GR/R66364/01","['Materials Characterisation']"
"EP/F05825X/1","['Combustion']"
"EP/F058276/1","['Combustion']"
"EP/F058837/1","['Combustion']"
"EP/F058942/1","['Combustion']"
"EP/H049967/1","['Combustion']"
